fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6
6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5
6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,7
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,7
7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5
6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5
7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6
7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6
6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6
6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1,6
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,6
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6
8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4,5
6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4,6
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6
7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7
6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,6
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,6
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6
7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,7
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5
7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6
8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,6
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5
5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5
7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,6
7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6
7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,6
6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,6
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6
6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,5
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6
6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7
7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,5
6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,7
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5
7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5
8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6
6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8
6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.5333333333333,5
7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,5
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6
5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7
5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7
5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5
5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,8
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,5
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5
6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6
6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,4
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
